;able;nakho uku;;;;
;about;nga;;;;
;accept;-amkela;;;;
;accommodate;-hlalisa;;;;
;accommodation;indawo yokuhlala;;;;
;ache;-qaqamba;;;;
;address;idilesi ; i-adilesi;;;
;adult;umntu omdala;;;;
;advise;-cebisa;;;;
;Afrikaans;isiBhulu;;;;
;after (adv.);mva;;;;
;after (prep.);emva koko;;;;
;afternoon;emva kwemini;;;;
;again;kwakhona;;;;
;age;ukudala;;;;
;agree;vuma;;;;
;ahead;phambili;;;;
wind;air;umoya;;;;
;all;-onke;;;;
;all of you;nonke;;;;
;all right;kulungile;;;;
;all the time;lonke ixesha;;;;
;allow;vumela;;;;
;also;kanjalo;;;;
;always;onke amaxesha;qho;;;
;and;na / ne / no;;;;
;anger;ingqumbo;;;;x
;angry;-qumbile;;;;
;animal;isilo;;;;
;another;-nye;;;;
;answer (v.);phendula;;;;
;answer (n.);impendulo;;;;x
;anxious;-nexhala;;;;
;any time;naninina;;;;
;anybody;nabani;;;;
;anything;nayiphina into;;;;
;anywhere;naphina;;;;
;apple;i-apile;;;;
;appointment;idinga;;;;
go near;approach;sondela;;;;
;area;ummandla;;;;
;arm ;ingalo;;;;
;arrival;-fika;;;;
;arrive;ukufika;;;;
;ask (question);-buza;;;;
request;ask for;-cela;;;;
;assist;nceda;;;;
;autumn;ukwindla;;;;
;baboon;imfene;;;;
;baby;usana;;;;
;back (n);umqolo;;;;
;bad;-bi;;;;
;bag;ingxowa;;;;
;bank;ibhanki;;;;
;bargain;isisulu;;;;
;bathroom;ibhafrum ;igumbi lokuhlambela;;;
;battery;ibhetri;;;;
;be;-ba;;;;
;beach;unxweme;ibhitshi;;;
hit;beat;-bhetha;;;;
;beautiful;-hle;;;;
;because (conj);kuba;;;;
;because of;ngenxa ya-;;;;
;bed;ibhedi;;;;
;bee;inyosi;;;;
;beef;inyama yenkomo;;;;
;beer;utywala;;;;
;before (adv);ngaphambili;;;;
;before (prep);phambi kwa-;;;;
;beggar;umnqibi;;;;
;begin;-qala;;;;
;beginning;isiqalo;;;;
;behind;ngemva kwa-;;;;
;better;-bhetele;-ngcono;;;
;better than;ngcono kuna-;;;;
;between;phakathi kwa-;;;;
;beverage;isiselo;;;;
;Bible;ibhayibhile;;;;
;bicycle;ibhayisekile;;;;
;bin;umgqomo;;;;x
;bird;intaka;;;;
;birthday;umhla wokuzalwa;;;;
;bite;-luma;;;;
;bitter;-krakra;;;;
;black;-mnyama;;;;
;bladder;ininyi;;;;
;bleed;-opha;;;;
;bleeding;ukopha;;;;
;blood;igazi;;;;
;bless;sikelela;;;;
;bless you!;ukhule;;;;
;blouse;ibhlawuzi;;;;
;blue;-luhlaza;-blowu;;;
;blunt;-bhutunthu;;;;
;body;umzimba;;;;
;boil;bila;;;;
;boil (v.trans);bilisa;;;;
;bone;ithambo;;;;
;book;incwadi;;;;
;born;-zalwa;;;;
;born at;-zalelwa;;;;
;borrow;-boleka;;;;
;bottle;ibhotile;;;;
;box;ibokisi;;;;
;boy;inkwenkwe;;;;
;brake;-breki;;;;
;branch;isebe;;;;
;brave;nesibindi;;;;
;bread;isonka;;;;
;break;-aphuka;;;;
;broken (down);-aphukile;;;;
;break in;-qhekeza;;;;
;broken into;-qhekezela;;;;
;breakfast;iblakfesi;isidlo sakusasa;;;
;breast;ibele;;;;
;bring (intrans);-zisa;;;;
;bring (trans);-zisela;;;;
;brother;ubhuti;;;;
;brown;-ntsundu;;;;
;bucket;i-emele;;;;
;buffalo;inyathi;;;;
;build;-akha;;;;
;building;isakhiwo;;;;
;burgled;-qhekezelwa;;;;
;burn;-tsha;;;;
;burst;-gqabhuka;;;;
;bus;ibhasi;;;;
;bus stop;isitophu sebhasi;;;;
;bush;ityolo;;;;x
;business;ishishini;;;;
;business person;usomashishini;;;;x
;busy;-xaxekile;;;;
;but;kodwa;;;;
;butter;ibhotolo;;;;
;buy;-thenga;;;;
;cake;ikheyiki;;;;
;call;-biza;;;;
;camera;ikhamera;;;;
;can;-nakho uku-;;;;
;can (tin);itoti;;;;
;car;imoto;;;;
;by car;ngemoto;;;;
;card;ikardhi;;;;
;careful;lumka;;;;
;carry;-phatha;;;;
;carry for someone;ziphatela;;;;x
;cash;ikheshi;imali esesandleni;;;x
;cat;ikati;;;;
;catch;-bamba;;;;
;cattle ;iinkomo;;;;
;celebrate;-bhiyozela;;;;
;centre;umbindi;;;;x
;at the centre;embindini;;;;
;certainly;ngokuqinisekileyo;;;;x
;certificate;isiqinisekiso;;;;
;chair;isitulo;;;;
;chance;ithuba;;;;
;by chance;ngebhaqo;;;;
;charcoal;ilahle lomthi;;;;
;cheap;-tshiphu;ixasbiso liphantsi;;;
;check (v);-khangela;;;;
;cheese;isonka samasi;itshizi;;;
;chest;isifuba;;;;
;chicken;inkukhu;;;;
;chief;inkosi;;;;
;chieftainess;ikosikazi;;;;
;child;umntwana;;;;
;choose;-khetha;;;;
;Christmas;iKrismesi;;;;x
;church;iCawa;;;;
;cigarette;isigarethi;;;;
;city;isixeko;;;;
;clan name;isiduko;;;;
;clean;-cocekile;;;;
;clear (v);-zola;;;;
;clear (adj);-zolile;;;;
;clinic;ikliniki;;;;
;clock;iwotshi enkulu;;;;
;close;vala;;;;
;closed;valiwe;;;;
;cloth;ilaphu;;;;
;clothes;impahla;;;;
;cloud (n);ilifu;;;;
;cloudy;-sibekele;;;;
;coast;unxweme;;;;
;coat;idyasi;;;;
;coffee;iKofu;;;;
;cold (weather) (v);-banda;;;;
;cold (person) (v);-godola;;;;
;cold (adj);-bandayo;;;;
;cold (flu);ubushushu;umkhuhlane;;;
;colour;ibala;umbala;;;
;comb (n);ikama;;;;
;come;-za;;;;
;come back;-buya;;;;
;come back to;-buyela;;;;
;come in;-ngena;;;;
;come to an end;-phela;;;;
;comfortable;-khululekile;;;;
;community;uluntu;;;;
;company;inkampani;;;;x
;competition;ukuphiswano;;;;
;complain;khalaza;;;;x
;complaint;isikhalazo;;;;
;comrade;iqabane;;;;
;condition (of road);imeko;;;;
;condom;i-khondom;isingxotyana sencanca;;;x
;congratulate;-vuyisana na-;;;;
;congratulations!;halala!;huntshu!;;;
;contact (v);-qhakamshelana na-;;;;
;continent;ilizwekazi;isithabakazi;;;x
;covnerstation;incoko;;;;
;cook (v.);-pheka;;;;
;cook (n.);umpheki;;;;
;cool;-pholile;;;;
;cooldrink;isiselo;;;;
;corner;ikona;;;;
;cost (v.);-dla;;;;
;cough (v.);-khohlela;;;;
;count (v.);-bala;;;;
;country;ilizwe;;;;
;cow;inkomo;;;;
;crime;ulwaphulo-mthetho;;;;
;crocodile;ingwenya;;;;
;cross (v.);-wela;;;;
;cry (v.);-khala;-lila;;;
;cultivate;-lima;;;;
;cup;-komityi;;;;
;cupboard;ikhabhathi;;;;x
;custom;isiko;;;;
;customer;umxhasi;;;;
;cut (v.);-sika;;;;
;damage (n.);imonakalo;;;;
;danger;ingozi;;;;
;dangerous;-nengozi;;;;
;dark;-mdaka;;;;
;date (n.);umhla;;;;
;daughter;intombi;;;;
;day;imini;;;;
;during the day;emini;;;;
;every day;yonke imihla ;;;;
;the whole day;imini yonke;;;;
;= 24hour period;usuku;;;;
;deep;-nzulu;;;;
;dentist;ugqirha wamazinyo;;;;
;department;isebe;;;;
;desk;idesika;;;;
;detergent;isicocisi;;;;
;diarrhoea;urhudo;isisu esihambisayo;;;
;die;-goduka;-bhubha;-sweleka;-fa;
;difference;umahluko;;;;
;it makes no difference;ayinasebenzi;;;;
;difficult;-nzima;;;;
;dinner;idinala;isidlo sangokuhlwa;;;
;direct (v.);.-alathisa e-/kwa-;;;;x
;direction;icala;;;;
;dirty;-mdaka;;;;
;disapointed;-danile;;;;
;disease;isifo;isigulo;;;
;dish;isitya;;;;
;do;-enza;;;;
;doctor;ugqirha;;;;
;dog;inja;;;;
;door;ucango;;;;
;down (adv.);phantsi;;;;
;dress (n.);ilokhwe;;;;
;drink (cold) (v.);-sela;;;;
;drink (warm) (v.);-phunga;;;;
;drink (n.);isielo;;;;
;drinkable;-seleka;;;;
;drive (v.);-qhuba;;;;
;driver;umqhubi;;;;
;drought;imbalela;;;;
;drug (n.);isiyobisi;;;;
;dry;-omile;;;;
;dysentery;isisu segazi;;;;
;ear;indlebe;;;;
;early;-kusasa;;;;
;east;impumalanga;;;;
;easy;-lula;;;;
;eat (v.);-tya;;;;
;education;imfundo;;;;
;egg;iqanda;;;;
;eight;isibhozo;;;;
;elbow;ingqiniba;;;;
;electricity;umbane;;;;
;elephant;indlovu;;;;
;empty;-ze;;;;
;English;isiNgesi;;;;
;enough;-anele;;;;
;entrance;isango;;;;
;envelope;imvulophu;;;;
;especially;ngakumbi;;;;
;etectera (etc.);njalo njalo (njl. njl.);;;;
;evening;ukuhlwa;;;;
;in the evening;ngokuhlwa;;;;
;everybody;wonke umntu;;;;x
;everything;yonke into;;;;x
;everywhere;kule lonke;;;;
;exact;-the ngqo;;;;
;the exact date;umhla othe ngqo;;;;
;example;umzekelo;;;;
;except for;ngaphandle kwa-;;;;
;excited;-nemincili;;;;
;excuse me!;uxolo;;;;
;exit (n.);isango;indawo yokuphuma;kuphunywa apha;;
;expensive;-dulu;;;;
;eye;iliso;;;;
;face (n.);ubuso;;;;
;factory;ifektri;ishishini;;;
;family;usapho;;;;
;far;-kude;;;;
;farmer;umlimi;;;;
;fat (n.);amafutha;;;;
;fat (adj.);-tyebile;;;;
;father;utata;ubawo;;;
;feel (v.);-va;;;;
;fever;ubushushu;umkhuhlane;;;
;few;-mbalwa;;;;
;fill (v.);-zalisa;;;;
;finally;ekuqibeleni;;;;
;find (v.);-fumana;;;;
;found;-fumaneka;;;;
;finger;umnwe;;;;
;fire (n.);umlilo;;;;
;firewood;ukhuni;;;;x
;first;-okuqala;;;;
;first aid;uncedo lokuqala;;;;x
;first-aid kit;izixhobo zoncedo lokuqala;;;;x
;firstly;kuqala;;;;
;fish (v.);.-loba;;;;x
;fish (n.);intlanzi;;;;
;five;-hlanu;;;;
;flat tyre;ivili elingenomoya;;;;
;flat battery;ibhetri efleti;;;;
;floor;umgangatho;;;;
;flower (n.);intyatyambo;;;;x
;fog;-inkungu;;;;
;follow;-landela;;;;
;food;ukutya;;;;
;foot;unywo;;;;
;for;nga-;;;;
;forehead;ibunzi;;;;x
;foreigner;umntu wasemzini;;;;
;forest;ihlathi;;;;
;forget;-libala;;;;
;fork (n.);-libele;;;;
;form (n.);ifoma;;;;
;four;-ne;;;;
;free;-khululekile;;;;
;French;isiFrentshi;;;;
;fresh;-tsha;;;;
;friend;umhlobo;;;;
;from X yo Y;ukusuka eX esiya eY;;;;
;(in) front of (adv.);ngaphambili;;;;
;in fron of (prep.);phambi kwa-;;;;
;fruit;isiqhamo;;;;
;dried fruit;iziqhamo ezomileyo;;;;x
;full;-zele;;;;
;furniture;ifenitsha;;;;x
;garage;igaraji;;;;
;garden (n.);igadi;;;;
;garlic;ikonofile;;;;
;garments;impahla;;;;
;knitted garments;impahla enithiweyo;;;;
;gas;igesi;;;;
;petrol;ipetroli;;;;
;gate;isango;;;;
;general store;ivenkile;;;;
;genetleman;inene;;;;
;German (lang.);isiJamani;;;;
;German (person);iJamani;;;;
;get;-fumana;;;;
down;get off;-hla;;;;
;get on;-khwela;;;;
;gift;isipho;;;;
;girl;intombi;;;;
;little girl;intobazana;;;;
;give;-pha;.-nika;;;x
;give a lift;-khwelisa;;;;
;give regards to;bulisela ku-;;;;
;glad;-vuya;;;;
;glass;iglasi;;;;
;sepctacles;iindondo;;;;
walk;go;hamba;;;;
towards;go to;-ya;-singisa;;;
;go home;-goduka;;;;
;go to school;-hamba isikolo;;;;
;go out;-phuma;;;;
;goat;iblokhwe;;;;
;God;uThixo;;;;
;good;-lungile;;;;
;government;urhulumente;;;;
;grandchild;umzukulwana;;;;
;grandfather;utat' omkhulu;;;;
;grandmother;umakhulu;;;;
;grass;ingca;;;;
;gravel;igrabile;;;;
;gravel road;indlela yegrabile;;;;
;green;-luhlaza;;;;
;grey;-ngwevu;;;;
;grow;-khula;;;;
;gaurantee (n.);isiqinisekiso;;;;
;guest;undwendwe;;;;x
;hair;unwele;;;;
;half;icala la-;;;;
;half (the fraction);isigqingatha;;;;x
;half past one (it is);yi-haf pas 1;;;;
;at half past;nge-haf pas 1;;;;x
;hand (n.);isandla;;;;
;happen;-enzeka;;;;
;happy;-onwabile;;;;
;harbour;izibuko;;;;
;hat;umnqwazi;;;;
;head;intloko;;;;
;hear;-va;;;;
;heart;intliziyo;;;;
;hearth;iziko;;;;
;heat (n.);ubushushu;;;;
;heavy;-nzima;;;;
;help (n.);uncedo;;;;x
;help (v.);-nceda;;;;
;here;apha;;;;
;high;-phakamileyo;;;;
;hire a car;-qesha imoto;;;;
;holiday;ikhefu;;;;
;I am on holiday;ndisekhefini;;;;
;home;ikhaya;;;;
;at home;ekhaya;;;;
;homestead;umzi;;;;
;honey;ubusi;;;;
;hope (v.);-themba;;;;
;hope (n.);ithemba;;;;
;horse;ihashe;;;;
;hospital;isibhedlele;;;;
;hostel;ihostele;;;;
;hot;-shushu;;;;
;hotel;ihotele;;;;
;hour;iyure;;;;
;per hour;ngeyure;;;;
;house;indle;;;;
;how?;njani?;;;;
;how about….?;kunjani?;;;;
;how is it?;kunjani?;;;;
;how long (in time)?;-ngakanani;;;;
;how many?;-ngaphi;;;;
;humid;-fumile;;;;
;hungry;-lambile;;;;
;hungry, become;-lamba;;;;
;hunt (v.);-zingela;;;;
;hurry up;-khawuleza;;;;
;hurry (be in a);-ngxamile;;;;
;hurt;-enzakele;;;;
;hurt (become);-enzakala;;;;
;husband;umyeni;;;;
;hut;indlwana;;;;
;hyena;ingcuka;;;;x
;I ;ndi-;;;;
;I (myself);mna;;;;
;if;ukuba;;;;
;ill;-gula;;;;
;illness;isifo;isigulo;;;
;immediately;kwangoko;;;;
;impala;impala;;;;
;important;-balulekile;;;;
;impressed;-thabathekile;;;;
;indeed!;inene;;;;
;indiginous;-elo zwe;;;;
;influenza;ubushushu;umkhuhlane;;;
;information;isaziso;;;;
;initials;oonobumba bokuqala bagama;;;;
;injection (medical);inaliti kaqirha;;;;
;injured;-enzakele;;;;
;innocent;-msulwa;;;;
;insect;isinambuzane;;;;
;insect spray;izibulala-zinambuzane;;;;
;inside (adv.);ngaphakathi;;;;
;inside (prep.);phakathi kwa-;;;;
;instead of;endaweni ya-;;;;
;interest (n.);umdla;;;;
;interesting;-nomdla;;;;
;interpreter;itoliki;;;;
;intersection;isiphambhuka;;;;x
;introduce;-azisa;;;;
;jackle;idyakhalashe;;;;
;jacket;ibhatyi;;;;
;jam;ijem;;;;
;job;umsebenzi;;;;
;join in;-ngenelela;;;;
;jounrey;uhambo;;;;
;juice;incindi;;;;x
;keep calm!;zola!;;;;
;kerosine;iparafini;;;;
;key;isitshixo;;;;
;kill (v.);-bulala;;;;
;killed;-bulawa;;;;
;kilometre;ikilomitha;;;;
;kind (sort) (n.);uhlobo;;;;
;kind (adj.);-nobubele;;;;
;kindness;ububele;;;;
;kitchen;ikitshi;;;;
;in the kitchen;ekitshini;;;;
;knee;idolo;;;;
;knife;imela;;;;
;know;-azi;;;;
;knowledge;ulwazi;;;;
;kudu;qudu;;;;
wife;lady;inkosikazi;;;;
;ladies!;amanenekazi;;;;
;lamp;isibane;;;;
;language;ulwimi;;;;
;regional languages;iilwimi zenqela;;;;x
;large;-khulu;;;;
;last;-phelileyo;,-okugqibela;;;
;at last;ekugqibeleni;;;;x
;late (adj.);-leyithi;;;;
;late (adv.);kade;;;;x
;later;mva;;;;
;laugh (v.);-hleka;;;;
;lawyer;igqwetha;;;;
;learn;-funda;;;;
;leave (v.) (intrans.);-hamba;;;;
;leave (v.) (trans.);.-shiya;;;;x
;left (adj.);-asekhohlo;;;;
;leg;umlenze;;;;
;lemon;ilamuni;;;;
;lend;-boleka;;;;
;leapord;ingwe;;;;
;lesson;isifundo;;;;
;letter;incwadi;;;;
;library;ilayibri;;;;
;life;ubomi;;;;
;light (v.);-basa;;;;
;light (n.);isibane;;;;
;lights (of car);izibane;;;;
;light (weight);-lula;-khaphukhaphu;;;
;like (v.);-thanda;;;;
;like (prep.);-njenga;;;;
;lion;ingonyama;;;;
;lip;umlebe;;;;
;liquor;utywala;;;;
;little ;-ncinci;;;;
;"live; stay";-hlala;;;;
;liver;isibindi;;;;
;long;-de;;;;
;long ago;kudala;;;;
